Bot,Simulation,q,Time Step,Result
Bot4,1,0.20,13,Success
Bot1,2,0.20,34,Success
Bot2,2,0.20,34,Success
Bot3,2,0.20,38,Success
Bot4,2,0.20,34,Success
Bot1,3,0.20,27,Success
Bot2,3,0.20,29,Success
Bot3,3,0.20,27,Success
Bot4,3,0.20,27,Success
Bot1,4,0.20,20,Success
Bot2,4,0.20,20,Success
Bot3,4,0.20,20,Success
Bot4,4,0.20,20,Success
Bot1,5,0.20,30,Success
Bot2,5,0.20,30,Success
Bot3,5,0.20,30,Success
Bot4,5,0.20,30,Success
Bot1,6,0.20,39,Success
Bot2,6,0.20,39,Success
Bot3,6,0.20,39,Success
Bot4,6,0.20,39,Success
Bot1,7,0.20,6,Success
Bot2,7,0.20,6,Success
Bot3,7,0.20,6,Success
Bot4,7,0.20,6,Success
Bot1,8,0.20,9,Success
Bot2,8,0.20,9,Success
Bot3,8,0.20,9,Success
Bot4,8,0.20,9,Success
Bot1,9,0.20,7,Success
Bot2,9,0.20,7,Success
Bot3,9,0.20,7,Success
Bot4,9,0.20,7,Success
Bot1,10,0.20,15,Success
Bot2,10,0.20,15,Success
Bot3,10,0.20,15,Success
Bot4,10,0.20,15,Success
Bot1,11,0.20,30,Success
Bot2,11,0.20,32,Success
Bot3,11,0.20,30,Success
Bot4,11,0.20,30,Success
Bot1,12,0.20,29,Success
Bot2,12,0.20,29,Success
Bot3,12,0.20,29,Success
Bot4,12,0.20,29,Success
Bot1,13,0.20,9,Bot got caught in fire
Bot2,13,0.20,11,Bot got caught in fire along path
Bot3,13,0.20,12,Bot got caught in fire along path
Bot4,13,0.20,34,Success
Bot1,14,0.20,18,Success
Bot2,14,0.20,18,Success
Bot3,14,0.20,18,Success
Bot4,14,0.20,18,Success
Bot1,15,0.20,18,Success
Bot2,15,0.20,18,Success
Bot3,15,0.20,18,Success
Bot4,15,0.20,18,Success
